ID,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Target
1,-0.2991502171,0.9803813739,-1.244780356,0.4205514439,-0.3522345168,8.17E-10
2,-0.3743194249,-1.179867041,0.6155881478,0.05470111626,0.6871822287,-5.08E-10
3,-1.240429335,-0.1390858095,-0.001653020673,0.4876851048,-0.2428080521,4.56E-10
4,-0.4298809073,-1.724245952,-0.09804551841,0.8965043078,0.3185848338,-2.65E-09
5,-1.726344875,1.945823108,1.275978568,-0.4746695941,1.050494321,-1.70E-08
6,0.7193353832,-0.9586228401,0.3272523379,-0.5789982822,-1.30674451,-3.46E-10
7,0.2528558265,-0.6902939775,0.7377980271,-1.752012491,-1.811166734,-7.45E-09
8,0.3243503571,-0.5145955136,-1.864250593,-0.0190599063,-0.02692933831,3.51E-09
9,-0.6329896841,-0.9596052025,-1.719171135,1.408666575,-1.11480935,-1.30E-09
10,-1.078015087,0.5248484875,0.07921190054,-1.729531539,-1.358179193,-9.76E-09
11,1.060703597,-0.9271920385,0.2691409696,1.122094988,-1.598050337,1.35E-10
12,-0.8443427368,0.5097560307,0.2647439373,0.4485992865,0.1970050855,2.20E-11
13,1.344536868,0.4146767501,-1.37336636,-1.569649144,1.818727935,-1.65E-09
14,-1.927359903,0.5640389957,-1.66594402,-0.2913024282,1.655926581,9.91E-09
15,1.357102435,-0.03387909561,0.3264249917,1.251391312,-1.849318317,-4.27E-09
16,-1.80771455,-0.09523340326,-1.884900923,-0.126362859,-1.890704554,3.68E-08
17,0.8950059232,-1.054709665,-1.121088164,-1.753020967,-0.4276913047,2.81E-09
18,1.40478835,-0.7376046589,1.856113163,0.7573634587,-0.4282394887,1.45E-08
19,0.1880790336,1.043522235,-1.829315061,-0.2744395104,-1.304484158,6.45E-09
20,-1.067285853,-0.9007777451,-1.184276518,-0.3052834055,-0.7209523105,3.17E-10
21,1.931621352,-1.354350195,0.8197942288,0.1819322829,-1.05689076,5.28E-09
22,1.976715703,1.044828571,-0.2903910332,0.8711532301,-1.442195579,1.23E-08
23,0.8861234467,0.9450597764,1.76095822,-0.3327563487,1.446299216,6.19E-09
24,1.569020422,-1.700423227,0.3764794833,-1.073307346,-1.142888862,-7.31E-09
25,-1.146461064,-0.6490124663,1.549391433,1.848615642,-1.769612721,-2.19E-08
26,-1.807287584,1.296861463,0.4906900467,-1.256311006,-0.8231531664,8.86E-10
27,0.6099880114,-1.026327044,-1.023026289,1.779605601,0.4470569827,-3.93E-10
28,-1.064160364,0.4942926954,-1.074165741,1.580740682,1.389388156,-5.29E-09
29,1.005009389,1.267492408,0.4028058367,-1.670983284,0.8676549194,6.62E-10
30,0.5453925011,0.6400104183,-0.8441687234,-1.437026546,-1.373463275,-5.14E-09
