ID,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6
1,-21.90459052,-22.65909077,12.80599532,-46.63193454,-34.34708058,-21.98973763
2,-28.6623852,68.7570811,31.76182149,3.982258965,-62.87686557,-61.83856263
3,-62.55120406,60.90923463,8.112917613,24.1100498,-64.37233589,70.68194042
4,14.4280236,-48.32604451,-65.5765179,76.02754907,69.96685159,48.02395304
5,9.780285273,-55.64317211,-72.73729859,74.18012285,67.8733268,41.12801501
6,-21.45360272,-64.08546897,33.53135578,-17.79874304,-62.54504217,-6.03703381
7,-23.38961335,72.37487696,30.04289292,10.58651249,-57.3023101,-54.44475861
8,-72.46707173,58.6203028,24.67740808,23.89028218,-87.04728373,82.69515602
9,-20.1308947,-41.50951391,12.87168188,-57.47800761,-32.06243644,-19.00041933
10,-54.54640957,56.36581357,17.8268947,33.86922325,-85.70445606,75.54896495
11,-64.82069992,66.8926592,10.8751941,27.5726915,-74.38785868,68.85758261
12,17.39033121,-55.10244627,-54.6603036,59.98210265,71.1911,45.3570994
13,7.41298463,-56.93451037,-50.95088435,69.92707693,63.92106971,49.32654535
14,-32.68323557,-74.20801391,32.82386198,-9.912407223,-62.68435305,4.409656027
15,36.93432701,-41.20499263,-45.37420658,-39.15890174,-29.81638095,10.47507795
16,-7.055713755,37.46584528,-42.21036674,-0.4825687611,13.66565002,-67.88153581
17,-24.35951655,72.22208265,50.11341624,9.069517626,-50.21538681,-52.66220117
18,-18.2628718,45.23269808,-60.45262504,4.173809905,15.35408772,-58.82807983
19,-27.76328935,-51.68103151,38.62382861,-8.013219992,-57.20462182,0.03150692739
20,6.017371531,49.35372458,-58.56373887,1.196665072,15.77878016,-77.69482748
21,53.94764785,-47.2629807,-53.6019927,-42.46054906,-16.47132236,1.257984241
22,-13.04227507,-27.19720656,11.12277851,-61.11538151,-21.25731763,-31.6888722
23,-29.88491546,-57.79773039,29.85950223,-8.305964028,-54.54308694,-12.01010697
24,-14.56682227,67.29568469,33.42093253,20.3165015,-50.62772317,-50.76375217
25,40.7859014,-41.84868848,-45.42529991,-46.66252046,-28.11477509,6.667142598
26,-32.60033426,-64.22569087,30.6952871,-4.833634096,-65.73934603,-2.298924331
27,-15.94159371,-40.35638555,25.35737721,-63.83311188,-43.10134728,-25.26810965
28,-16.28493478,-42.30428973,13.95010171,-54.01440019,-35.2364331,-31.47246283
29,-23.66051586,-56.39996001,26.79196594,-14.39857985,-68.63582585,1.459822999
30,68.9314491,-37.72687774,-54.00388604,-59.89925045,-33.13445496,0.8709763756
31,-18.14385449,49.66121586,-50.59922972,5.051067381,8.840769813,-76.06632593
32,56.73697406,-40.67051875,-44.07912408,-53.68540281,-29.31700881,9.755309642
33,-0.1853027719,-28.52078895,19.80082194,-55.04219919,-24.12101937,-15.50766778
34,-22.06312874,62.9531319,47.03469687,12.93716328,-44.45301973,-42.3276315
35,-8.036204603,-33.84327506,25.80565725,-54.42678476,-28.81276242,-21.39685471
36,-12.99421257,-16.40184632,4.920874399,-47.28535064,-14.67054874,-31.36947814
37,-3.150674212,31.04066368,-42.75266346,5.078219643,24.04763126,-76.12872022
38,50.20778946,-45.34709541,-54.65110537,-50.54074778,-30.18197582,10.53463871
39,-12.3506739,42.47270145,-48.72502249,-3.447569443,17.70095697,-82.43642538
40,-7.654546003,59.5622463,25.03778261,8.530954845,-45.06954859,-56.79968968
41,-7.516146552,-33.53829813,22.86511245,-34.14671672,-38.21209342,-23.03862693
42,17.43503082,-63.6384446,-56.61612966,69.96148193,52.98965159,50.34936937
43,60.2647483,-46.25057134,-48.23309294,-50.6137535,-33.09876843,4.508258906
44,-10.58178874,38.55630365,-55.57582967,-3.955895583,3.730255056,-66.34706789
45,-17.47723028,-55.14430546,27.3659422,-1.874133707,-53.05198477,0.06921993853
46,-85.12844985,67.80168247,15.97166913,32.80973832,-70.32091736,71.05809946
47,-12.61150621,-30.79049822,16.80696661,-54.85828429,-44.08865862,-23.83194567
48,-70.51076021,59.02476397,13.53045942,30.02614875,-71.20567708,75.14963205
49,16.09281258,-44.00237293,-67.4837765,75.47942317,77.95786952,38.98735865
50,-30.48005597,73.07253627,43.30371802,26.50527833,-50.83692093,-58.34220228
51,-11.70707387,-39.16733996,21.89362393,-51.73324318,-35.18206818,-31.88294986
52,-21.25898467,70.17543231,42.05008389,16.49513534,-38.11836317,-45.02577125
53,-23.70528192,-39.13724997,24.59317924,-47.83460825,-18.64609629,-26.24792841
54,38.86440675,-47.66478645,-56.44179593,-60.90280027,-37.30963206,2.300023552
55,-14.48919295,-41.2622698,13.22623538,-52.92154797,-39.10380412,-16.94537783
56,-60.54387452,55.91896759,18.53872999,37.05060738,-84.15328704,76.08053846
57,-2.267911248,-36.62515095,27.71925517,-51.16623938,-41.62084614,-21.96579231
58,-16.95809491,-37.96130938,21.94893271,-68.21779348,-34.26843652,-11.82060039
59,58.86948533,-56.33459217,-57.98915643,-48.08604321,-32.07213583,6.276896611
60,-65.36939012,67.30734902,7.196059935,36.20885743,-80.77944765,88.6646684
61,-32.71067471,-51.9405206,35.14670388,-9.195738939,-51.33518699,3.995906616
62,27.87784831,-37.76848694,-56.28147046,56.09583717,70.35739903,47.76606793
63,-24.50763165,-64.70986565,28.70641087,-14.7164628,-51.65633876,-7.996258307
64,-29.21580045,-69.92570049,28.08134075,0.8116381711,-59.11364687,-5.480825402
65,-12.1693752,79.46457943,28.37576128,8.387318853,-56.12490309,-58.268872
66,4.979833626,42.05808685,-56.81340004,9.146533231,8.88422929,-78.66781838
67,-13.06386353,-26.33219167,23.59816204,-53.74132343,-24.67053543,-20.19972074
68,-12.85663895,-39.17523948,8.735618338,-52.61519928,-32.77341377,-17.13606642
69,35.76623689,-35.80595011,-43.1933634,-45.26425188,-35.23077036,0.2730550969
70,57.08484245,-44.65018528,-40.48516052,-48.57545662,-28.73914029,-3.438270939
71,-23.12961971,68.27045284,36.01350127,8.178094376,-47.78735895,-56.56933883
72,-72.67972165,57.7051539,16.68515142,24.30081602,-73.86853877,62.97522566
73,-14.77405122,74.851874,44.72226883,3.711897446,-59.35316834,-47.21576437
74,1.32283928,78.12276025,26.26954648,5.936200869,-49.60006694,-49.14599029
75,-28.20685725,-65.29861988,20.54116063,-17.18872724,-60.51249609,-0.4085069055
76,18.44620134,-52.59162969,-63.6949929,77.637815,75.31617476,39.22093194
77,44.3325873,-30.07718129,-57.56786782,-43.99425014,-36.32224536,6.547790226
78,-21.47154528,78.99366527,35.03602078,20.97836284,-54.55058977,-41.31020105
79,-4.543415847,66.40375526,51.65805821,21.00214494,-62.72435548,-51.478607
80,24.67574616,-41.20935283,-57.35153342,60.49093626,79.81400266,47.39938899
81,50.34386825,-44.9810971,-54.95185959,-46.03775762,-13.08459678,7.324948597
82,49.72705638,-44.75631978,-66.20150071,-45.16590298,-23.73680251,19.20965901
83,-23.66205106,68.08115729,29.08257267,16.77068282,-47.48667322,-48.56930777
84,-4.722511808,51.78919617,-44.86784607,-0.8291255973,14.01045412,-57.86729664
85,-68.16890154,61.54762089,18.15746912,42.00155716,-74.76602034,79.3738291
86,55.30714086,-47.05663519,-45.55560672,-45.185452,-40.08252151,1.11656126
87,-1.769092964,47.90642567,-46.15899988,3.191507855,23.65651062,-63.77920113
88,61.27980566,-39.86201988,-56.9595439,-59.95621425,-25.6244058,8.016575574
89,-19.26169169,-31.23523369,24.75764286,-68.48929441,-33.91144357,-24.83227869
90,-20.7324258,-64.88575099,39.35648316,-13.45106824,-70.61354245,2.804460955
91,-28.19981035,-77.58183758,25.41887825,-8.995945117,-52.03924189,6.134011834
92,1.969858353,-27.68680484,13.55953192,-65.20982086,-29.93460218,-12.0075186
93,-60.623864,60.00091483,7.951978339,33.01270389,-81.22162244,71.29890383
94,-78.94948518,41.57333355,20.23563405,37.17848626,-76.23959942,63.46891874
95,-16.82179072,59.86525214,26.67168829,12.66282276,-47.84323672,-48.81178225
96,-60.4792068,54.89627975,14.86900569,34.705315,-76.93216445,66.92219355
97,16.47848093,-58.75413627,-68.53455754,68.35565278,76.18633823,44.31234954
98,-23.16606541,75.89034034,20.17843253,14.74355067,-65.3158859,-59.36219677
99,47.78760097,-46.45000707,-49.17193173,-39.23860043,-21.98817666,-4.061455277
100,-30.1096882,-59.13926774,27.51466798,-26.11721786,-59.69965871,11.0057543
101,-18.31711785,64.51516074,27.18445147,9.16565142,-56.78446901,-44.26398218
